area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Akshaya Nagar,3,,1893,4,2,95
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,Mauner ,1318,3,2,56
Built-up  Area,Ready To Move,Yelahanka,3,DSeak S,1325,2,2,58
Built-up  Area,Ready To Move,Kereguddadahalli,2,N iewak,800,2,1,33
Super built-up  Area,Ready To Move,Canara Bank Colony,3,,1300,3,2,42.25
Built-up  Area,Ready To Move,Dodda Banaswadi,3,,1300,2,2,60
Super built-up  Area,Ready To Move,Jalahalli East,2,ShshaSa,1010,2,1,52
Super built-up  Area,Ready To Move,Banashankari,2,Goeesem,1260,2,3,75
Built-up  Area,Ready To Move,Ulsoor,4,,2500,4,0,170
Plot  Area,Ready To Move,Halanayakanahalli,3,Asncy P,1520,3,1,165
Super built-up  Area,Ready To Move,Bellandur,3,GoncyRe,1665,3,,85
Super built-up  Area,Ready To Move,Subramanyapura,3,Chllsev,1800,3,,80
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1197,2,1,75
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1050,2,2,45
Plot  Area,Ready To Move,Manjunath Nagar,5,,910,4,2,194
Super built-up  Area,Ready To Move,Thanisandra,3,Pronyt ,1241,2,1,68
Super built-up  Area,Ready To Move,Maithri Layout,3,ItAnuna,1567,2,3,62
Super built-up  Area,Ready To Move,Kasavanhalli,3,Salisal,1747,3,1,110
Super built-up  Area,18-Jun,Ramagondanahalli,3,ViistLa,1475,2,2,55
Plot  Area,Ready To Move,Park View Layout,4,,600,4,1,70
Plot  Area,Ready To Move,Xavier Layout,3,,1524,4,2,400
Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,980,2,1,51
Super built-up  Area,18-Apr,Dasanapura,2,Tavenew,966,2,1,58
Super built-up  Area,Ready To Move,Ferrar Nagar,4,Leton A,2360,3,2,185
Super built-up  Area,19-Mar,Sarjapur  Road,2,AsastDe,1112,2,1,62
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,550,1,1,16
Built-up  Area,Ready To Move,Surabhi Layout,3,VDdonel,1760,3,3,90
Super built-up  Area,Ready To Move,Hennur,3,Bront A,1830,2,3,113
Super built-up  Area,19-Mar,Yelahanka,2,Masser ,1175,2,1,67.77
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1175,2,1,41
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1025,2,2,45
Super built-up  Area,18-Aug,Hennur Road,2,Puachal,1232,2,1,80
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,Rewelav,1010,2,2,57
Super built-up  Area,Ready To Move,Sarjapur  Road,2,VHinoel,1273,2,2,60
Super built-up  Area,17-Aug,Battarahalli,2,PaontWa,1590,2,2,102
Super built-up  Area,Ready To Move,Air View Colony,2,Myitece,1100,2,1,58.5
Super built-up  Area,Ready To Move,Electronic City Phase II,3,Brods W,1252,2,1,65
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4,Prhtsok,2615,5,3,222
Plot  Area,Ready To Move,Arishinakunte,5,,1200,6,,140
Super built-up  Area,Ready To Move,Yelahanka,2,,1322,2,1,77.9
Plot  Area,Ready To Move,7th Phase JP Nagar,1,,1000,1,1,60
Super built-up  Area,Ready To Move,Harlur,3,Prncyrn,1755,3,2,117
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Rie 2ri,1135,2,2,46
Plot  Area,Ready To Move,Rajaji Nagar,8,,1200,10,2,180
Plot  Area,Ready To Move,Electronic City,4,,1200,4,1,125
Super built-up  Area,Ready To Move,Nagavarapalya,2,,1260,2,2,85.5
Plot  Area,Ready To Move,Hoodi,5,,3250,5,2,395
Plot  Area,Ready To Move,Ambedkar Nagar,4,Thessrm,3500,4,2,550
Plot  Area,Ready To Move,Manjunath Nagar,5,,1200,6,2,110
Super built-up  Area,20-Dec,Kanakpura Road,3,PrarePa,1100,2,1,53
Super built-up  Area,Ready To Move,Electronic City Phase II,3,,1305,3,1,65
Built-up  Area,Ready To Move,Ayappa Nagar,2,Saionl ,1236,2,1,50
Built-up  Area,Ready To Move,Uttarahalli,2,,1125,1,2,45
Built-up  Area,18-May,KR Puram,2,SancyRe,1075,2,2,32.25
Super built-up  Area,Ready To Move,BEML Layout,3,,2000,3,2,85
Plot  Area,Ready To Move,Kadugondanahalli,8,,772,5,1,60
Built-up  Area,Ready To Move,Thanisandra,6,,2999.97,6,0,110
Super built-up  Area,Ready To Move,Kadugodi,2,MSingco,1150,2,2,42
Plot  Area,Ready To Move,9th Block Jayanagar,4,,1440,4,1,240
Super built-up  Area,Ready To Move,Hennur Road,2,GSideS ,1085,2,1,43.4
Built-up  Area,Ready To Move,Hebbal Kempapura,3,Goateds,1785,3,0,165
Super built-up  Area,Ready To Move,Malleshwaram,3,Sariaat,2475,4,3,300
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1930,4,2,120
Super built-up  Area,Ready To Move,4th Phase JP Nagar,2,,600,4,1,70
Plot  Area,Ready To Move,Kadugondanahalli,2,,800,1,0,45
Built-up  Area,Ready To Move,Kumaraswami Layout,4,,2450,3,2,110
Plot  Area,17-Dec,akshaya nagar t c palya,4,,1200,4,0,120
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1920,3,3,122
Super built-up  Area,18-Apr,Kothannur,2,,1085,2,2,34.2
Super built-up  Area,Ready To Move,Thanisandra,1,Bhmesy ,760,1,2,50.4
Built-up  Area,Ready To Move,Sahakara Nagar,2,Kencyes,1201,2,3,80
Super built-up  Area,18-Jul,Electronic City,3,Prarkun,1615,3,2,97
Super built-up  Area,Ready To Move,HSR Layout,2,AaineSi,1289,2,,70
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1991,4,2,100
Super built-up  Area,Ready To Move,Kasavanhalli,2,HMonymp,1377,2,2,80
Super built-up  Area,Ready To Move,Cunningham Road,3,LeDuvMy,2880,3,2,560
Plot  Area,Ready To Move,Laxmi Sagar Layout,3,Pudgear,1892,3,2,200
Built-up  Area,Ready To Move,Shivaji Nagar,3,HMqueu ,2176,3,3,348
Super built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,663,1,0,32.82
Built-up  Area,18-Dec,Electronic City,2,,1165,2,1,33.65
Super built-up  Area,Ready To Move,Talaghattapura,3,Toreeic,3554,4,1,340
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1260,2,1,45.5
Built-up  Area,Ready To Move,Volagerekallahalli,2,PSterAs,1095,2,1,39
Super built-up  Area,Ready To Move,KR Garden,2,,1050,2,2,65
Super built-up  Area,Ready To Move,Seegehalli,2,Sriferi,1176,2,2,50
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1801,3,2,115
Super built-up  Area,Ready To Move,Whitefield,2,,1315,2,3,55
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,46
Plot  Area,Ready To Move,NRI Layout,2,,2400,2,1,125
Super built-up  Area,18-Mar,Uttarahalli,3,JPismPr,1308,2,3,53
Plot  Area,Ready To Move,Sarjapur  Road,4,AdlasRe,4250,4,2,610
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1806,6,2,116
Built-up  Area,17-Dec,Thanisandra,4,,3671,4,1,220
Super built-up  Area,Ready To Move,Hoodi,3,EsaceLe,2144,3,2,140
Built-up  Area,Ready To Move,Hoskote,2,Corus C,1065,2,3,33.75
Super built-up  Area,17-Oct,Balagere,2,Soresea,1205,2,1,67
Super built-up  Area,Ready To Move,Uttarahalli,2,SLnssPr,1160,2,2,40.58
Plot  Area,Ready To Move,Kanaka Nagar,4,,750,4,2,90
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,47
Plot  Area,18-Jul,mvj engineering college,3,,1200,3,1,56.53
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,,1681,3,3,69
Built-up  Area,18-Aug,Bommasandra Industrial Area,2,,1130,2,1,32.64
Super built-up  Area,Ready To Move,Iblur Village,4,Emine P,3633,5,1,335
Built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1843,3,2,90
Built-up  Area,18-Dec,Bommasandra Industrial Area,2,,1065,2,1,30.75
Super built-up  Area,Ready To Move,Thubarahalli,3,SaodsGr,1885,3,2,85.52
Super built-up  Area,Ready To Move,R.T. Nagar,2,,1500,2,2,45
Super built-up  Area,Ready To Move,Panathur,2,,1210,2,2,69
Super built-up  Area,Ready To Move,TC Palaya,2,BSersTo,1126,2,1,39.4
Super built-up  Area,Ready To Move,Rayasandra,3,MJeusyl,1357,2,2,59
Super built-up  Area,Ready To Move,Whitefield,3,SMuilan,1451,2,2,46.4
Plot  Area,Ready To Move,Kodigehaali,4,,1600,3,3,185
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,950,2,1,55
Built-up  Area,Ready To Move,Bellandur,2,Srure S,960,2,2,48
Super built-up  Area,Ready To Move,2nd Block Bel Layout,3,,1625,3,3,92
Plot  Area,18-May,Kaggalipura,3,AxvamTa,2200,4,1,150
Super built-up  Area,Ready To Move,Ambalipura,3,Dimes E,1607,2,2,112
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,900,2,1,46.29
Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2,ViortCo,1080,2,2,38
Super built-up  Area,Ready To Move,Cooke Town,3,,2300,3,1,250
Super built-up  Area,Ready To Move,Hosa Road,4,Pamesy ,1708,3,0,64.05
Built-up  Area,Ready To Move,Yeshwanthpur,6,,2500,5,2,185
Super built-up  Area,Ready To Move,Bellandur,3,Krala D,1690,2,2,116
Built-up  Area,Ready To Move,RR Layout,5,,2100,3,0,145
Super built-up  Area,Ready To Move,4th Block Koramangala,2,,1269,2,2,97
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Built-up  Area,Ready To Move,Haralur Road,3,,1890,3,2,84
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1165,2,1,33.64
Super built-up  Area,Ready To Move,BTM Layout,2,,1196,2,2,56.81
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,47
Super built-up  Area,Ready To Move,Old Madras Road,3,Brglede,1630,3,2,110
Super built-up  Area,19-Apr,Whitefield,2,ARipsul,1063,2,1,42.52
Super built-up  Area,Ready To Move,Shikaripalya,2,ALtonea,1025,2,1,39.98
Super built-up  Area,Ready To Move,Chikkabanavar,2,,1067,2,1,38
Super built-up  Area,19-Sep,Kanakpura Road,2,Soazak ,1299,2,1,89.63
Super built-up  Area,18-May,Panathur,2,Diarknt,1343,2,1,76
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,,1330,2,2,44
Super built-up  Area,Ready To Move,Mallasandra,3,ShnyeSy,1524,2,3,72
Super built-up  Area,Ready To Move,Lingadheeranahalli,4,Soiewre,2236,4,2,153
Super built-up  Area,Ready To Move,Domlur,3,IBictnd,2955,3,,235
Super built-up  Area,18-Mar,Raja Rajashweri Nagar,3,,1410,2,2,45.12
Super built-up  Area,Ready To Move,Kothanur,3,,1581,3,3,76
Super built-up  Area,Ready To Move,Balagere,2,Soresea,1205,2,1,79
Super built-up  Area,Ready To Move,Thyagaraja Nagar,3,,1270,2,2,95.25
Super built-up  Area,Ready To Move,VHBCS Layout,3,,1353,2,2,110
Plot  Area,18-Feb,Jinkethimmanahalli,2,,1200,2,1,68
Super built-up  Area,Ready To Move,basaveshwarnagar,3,,1250,2,1,70
Super built-up  Area,19-Mar,Gopalapura,3,Sothadr,1950.2,3,2,261
Super built-up  Area,18-Nov,Sarjapur  Road,3,AsastDe,1157,2,1,69
Super built-up  Area,19-Dec,Kanakapura,1,GoityEt,712 - 938,1,0,35.475
Built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1000,2,2,40
Built-up  Area,18-Apr,Yelahanka,1,Prensya,602,1,1,33
Built-up  Area,Ready To Move,Malleshwaram,5,,3000,4,0,900
Super built-up  Area,21-Jul,Hoodi,2,GoAirej,1108,2,0,66.46
Super built-up  Area,Ready To Move,Thyagaraja Nagar,2,,1040,2,1,68
Super built-up  Area,20-Dec,Sarjapur,2,,1451,2,1,87
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2,40.54
Super built-up  Area,18-May,Kanakpura Road,1,Maionus,850,1,1,37.32
Super built-up  Area,19-Mar,Gopalapura,3,Sothadr,2171.66,3,2,298
Super built-up  Area,Ready To Move,Kanaka Nagar,2,SoersTo,900,2,1,40
Super built-up  Area,Ready To Move,Kudlu,1,GKityel,720,1,1,33
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,1573,3,2,115
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ahriaup,1026,2,1,60.8
Super built-up  Area,Ready To Move,CV Raman Nagar,3,,1400,2,2,78
Built-up  Area,18-Jul,Electronic City Phase II,3,Sryalan,1400,2,2,40.44
Built-up  Area,Ready To Move,Banashankari Stage III,4,,2100,3,1,147
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,1150,2,1,48.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,,1500,3,2,88
Super built-up  Area,Ready To Move,Malleshwaram,3,Seardac,2400,3,2,380
Plot  Area,Ready To Move,HRBR Layout,3,,1200,3,2,240
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1790,3,2,105
Super built-up  Area,Ready To Move,Ramagondanahalli,2,SVovelm,1125,2,2,75
Super built-up  Area,18-Dec,Hennur,3,Exitym ,1783 - 1878,3,0,84.205
Super built-up  Area,Ready To Move,Marathahalli,2,Spsic C,1100,2,1,50
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,,120Sq. Yards,2,1,51
Built-up  Area,Ready To Move,Banaswadi,2,Shidei ,1105,2,2,57
Super built-up  Area,Ready To Move,Thanisandra,2,Juaxyan,1110,2,2,46.5
Super built-up  Area,Ready To Move,Dasanapura,1,Tavenew,708,1,1,41
Super built-up  Area,Ready To Move,Kudlu,2,,1027,2,2,44
Super built-up  Area,18-May,"Banashankari 3rd stage, Vivekanandanagar",3,,1600,3,1,100
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,3122,6,2,250
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Mailsaf,1205,2,2,37
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3,NDncysi,1450,2,2,73
Plot  Area,Ready To Move,Thyagaraja Nagar,4,,750,4,2,125
Plot  Area,Ready To Move,Annaiah Reddy Layout,1,,540,1,0,22
Built-up  Area,Ready To Move,Dasarahalli,2,Prndsde,1200,2,2,42
Plot  Area,Ready To Move,Nagarbhavi,5,,1200,5,1,260
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Mykyayi,1837,2,2,95
Super built-up  Area,18-Dec,Whitefield,2,Prtates,1346,2,1,76.01
Built-up  Area,Ready To Move,Balagere,2,Soresea,1012,2,1,68
Super built-up  Area,18-Dec,Gopalapura,3,Sothadr,1950.2,3,2,193
Super built-up  Area,Ready To Move,Atmananda Colony,2,,1125,2,2,55
Super built-up  Area,Ready To Move,Kaggadasapura,3,SraruSr,1500,2,2,60
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1197,2,1,79.9
Super built-up  Area,18-Sep,Chandapura,3,SunceEs,1230,2,2,31.37
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,,1100,2,2,47
Super built-up  Area,Ready To Move,Channasandra Layout,3,Aconyit,1563,2,2,52
Plot  Area,Ready To Move,4th Block Jayanagar,7,,2240,4,1,700
Super built-up  Area,Ready To Move,Hebbal Kempapura,4,GonumPl,3729,4,2,384
Plot  Area,Ready To Move,Sarjapur  Road,3,Krs A C,1600,3,1,120
Super built-up  Area,Ready To Move,Green Glen Layout,3,SoosePr,1715,3,3,120
Built-up  Area,Ready To Move,Bannerghatta Road,4,,2400,4,1,180
Super built-up  Area,18-Jul,Ramagondanahalli,2,ViistLa,1151,2,2,42.5
Plot  Area,Ready To Move,Banaswadi,6,,1200,6,2,220
Built-up  Area,Ready To Move,Uttarahalli,2,,1123,2,2,60
Super built-up  Area,20-Jan,Whitefield,2,,1276,2,1,69.5
Super built-up  Area,Ready To Move,Yelahanka,2,Velas V,1315,2,3,77
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1270,2,2,50.79
Super built-up  Area,Ready To Move,R.T. Nagar,2,,1325,2,2,52
Super built-up  Area,18-Apr,Varthur,3,Muistry,1600,3,2,63.2
Super built-up  Area,Ready To Move,Jakkur,3,BrdgeNo,1660,3,2,104
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,Peace P,1299,2,3,58
Super built-up  Area,Ready To Move,Haralur Road,2,Ozensve,953,2,1,90
Super built-up  Area,Ready To Move,Gunjur,2,Paestol,1457,2,3,60
Super built-up  Area,18-May,Varthur,2,,1000,1,1,65
Built-up  Area,Ready To Move,Mallasandra,3,,1100,2,3,76.3
Super built-up  Area,Ready To Move,Yelahanka,3,Prdomt ,1075,2,1,33.53
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1450,3,3,51
Super built-up  Area,Ready To Move,Iblur Village,5,Emine P,5515,6,2,425
Super built-up  Area,Ready To Move,Bellandur,1,Trows M,950,1,1,40
Plot  Area,Ready To Move,Basaveshwara Nagar,5,,1200,3,1,180
Super built-up  Area,Ready To Move,Amam Enclave Layout,2,ArBayeb,1013,2,2,60
Super built-up  Area,Ready To Move,Hennur Road,2,,1140,2,2,56
Super built-up  Area,Ready To Move,4th T block Jayanagar,3,,2100,3,3,220
Super built-up  Area,Ready To Move,Yelahanka,3,Apows M,1430,3,1,61
Plot  Area,Ready To Move,Ilyas Nagar,4,,600,3,0,95
Carpet  Area,Ready To Move,Anantapura,3,Grare S,1600,3,2,77
Super built-up  Area,Ready To Move,Ayappa Nagar,2,Viconth,1190,2,1,48
Super built-up  Area,Ready To Move,Ashwath Nagar,3,SJcerpe,1625,3,2,95
Super built-up  Area,Ready To Move,Classic Paradise Layout,2,,1210,2,2,53
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,RothaVa,1615,3,2,150
Super built-up  Area,Ready To Move,Kalena Agrahara,2,MancyRe,1180,2,2,85
Plot  Area,Ready To Move,Nagasandra,2,,1500,2,0,91
Built-up  Area,Ready To Move,Bellandur,2,Srure S,850,2,1,45
Super built-up  Area,Ready To Move,Kothanur,2,,1130,2,2,55
Super built-up  Area,Ready To Move,CV Raman Nagar,2,,907,2,2,38
Built-up  Area,Ready To Move,HRBR Layout,2,Vaaveeh,1300,2,3,90
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1891,3,1,110
Super built-up  Area,Ready To Move,Hennur Road,3,Soncy R,1735,3,3,78
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,33
Built-up  Area,Ready To Move,Gowdanapalya,5,,24Sq. Meter,5,0,75
Built-up  Area,Ready To Move,Kumaraswami Layout,7,,2040,4,3,123
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,57
Plot  Area,Ready To Move,Jayanti Nagar,5,,1600,5,2,140
Built-up  Area,Ready To Move,Doddakammanahalli,2,,1160,2,3,55
Super built-up  Area,Ready To Move,Tasker Town,2,,930,1,1,55
Built-up  Area,Ready To Move,Devanahalli,2,Brrds O,1010,2,1,58
Super built-up  Area,Ready To Move,Electronic City,2,Briumri,1221,2,2,68
Plot  Area,Ready To Move,Banashankari,4,,2400,4,3,470
Super built-up  Area,22-Jun,Hoodi,2,GoAirej,1108,2,1,87.48
Plot  Area,Ready To Move,Vidyaranyapura,4,,1000,4,2,120
Super built-up  Area,18-Apr,Sarjapur  Road,2,PualeSk,1370,2,1,70
Super built-up  Area,Ready To Move,Banashankari Stage V,2,,920,2,1,41.5
Super built-up  Area,18-May,Bhoganhalli,2,Rosha I,1277,2,1,79.89
Super built-up  Area,18-May,Horamavu Agara,2,,1213,2,2,38.1
Super built-up  Area,Ready To Move,Singasandra,3,,1653,3,2,85
Plot  Area,Ready To Move,Sarjapur,4,Peora P,2400,3,3,140
Super built-up  Area,Ready To Move,1st Block Koramangala,4,,3000,5,3,500
Plot  Area,Ready To Move,Kothanur,4,,1600,4,3,250
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,Saent A,1321,2,,40
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1570,3,2,68
Built-up  Area,Ready To Move,Hessarghatta,8,,1150,8,,70
Super built-up  Area,Ready To Move,Nallurhalli,2,TrryaAi,1053,2,3,44
Super built-up  Area,Ready To Move,Hoysalanagar,3,PNncysi,1325,2,3,56
Super built-up  Area,18-Nov,manyata,2,,1169,2,1,50.11
Super built-up  Area,20-Jan,Badavala Nagar,2,DNncasa,1274,2,1,90
Super built-up  Area,Ready To Move,Whitefield,2,Sparam ,1317,2,2,52
Built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1195,2,1,75
Super built-up  Area,18-Nov,Whitefield,4,Asarqz ,2528 - 3188,4,0,137
Super built-up  Area,Ready To Move,Kammasandra,2,Saineiv,940,2,2,35
Built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,95.5
Super built-up  Area,Ready To Move,Kanakpura Road,3,,1450,3,3,53.6
Built-up  Area,Ready To Move,Whitefield,3,Sudama ,1615,3,0,96.9
Built-up  Area,Ready To Move,Nagarbhavi,3,,2200,2,3,99
Super built-up  Area,Ready To Move,Subramanyapura,2,Mayne A,985,2,1,62.5
Built-up  Area,Ready To Move,Electronics City Phase 1,2,,1116,2,1,33
Super built-up  Area,Ready To Move,Attibele,2,Jae 2hu,656,2,1,25
Super built-up  Area,Ready To Move,Kaggadasapura,2,SLireap,1105,2,1,39.5
Super built-up  Area,Ready To Move,Whitefield,2,S mesci,1220,2,1,55
Built-up  Area,Ready To Move,Hoodi,3,Macanr ,1400,3,2,74
Built-up  Area,Ready To Move,Bhuvaneswari Nagar,4,,2400,3,0,185
Plot  Area,Ready To Move,Anandapura,3,,850,3,0,63
Built-up  Area,Ready To Move,Uttarahalli,2,Apmes H,1000,2,1,35
Super built-up  Area,Ready To Move,Bannerghatta Road,3,,1660,3,3,80
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1330,2,1,57
Super built-up  Area,18-May,Old Madras Road,2,SheldGr,1165,2,1,52
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56
Built-up  Area,Ready To Move,Bannerghatta Road,2,Puentpa,1270,2,2,45
Super built-up  Area,18-Aug,2nd Phase JP Nagar,2,,1070,2,2,38
Built-up  Area,Ready To Move,RWF West Colony,3,PancyRe,1427,2,,85
Super built-up  Area,Ready To Move,Banashankari Stage III,3,SaideHi,1420,2,2,95
Plot  Area,Ready To Move,Kothanur,4,,1600,5,0,130
Super built-up  Area,Ready To Move,Langford Town,2,,2031,2,2,200
Super built-up  Area,19-Jul,Bellandur,2,Thesseg,1454,2,1,90
Super built-up  Area,Ready To Move,Whitefield,2,Soe 2Sa,1116,2,3,48.76
Plot  Area,Ready To Move,Maruthi Sevanagar,4,,2000,3,1,180
Super built-up  Area,18-Jul,Sarjapur  Road,2,PualeSk,1346,2,1,74.03
Super built-up  Area,Ready To Move,Hessarghatta,2,StwarSi,1062,2,1,50
Super built-up  Area,Ready To Move, Mysore Highway,1,,700,1,1,25.5
Super built-up  Area,19-Dec,JP Nagar,2,Shestut,1405,2,1,99
Built-up  Area,Ready To Move,Doddathoguru,2,,1100,2,2,50
Plot  Area,Ready To Move,Chikka Tirupathi,3,Theanmp,2153,4,3,120
Plot  Area,Ready To Move,Kammagondahalli,3,,1200,3,2,120
Super built-up  Area,Ready To Move,Ulsoor,3,K borja,2135,3,2,170
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1125,2,1,47
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,,1350,2,2,47.25
Built-up  Area,Ready To Move,Pai Layout,2,,1068,2,3,48
Super built-up  Area,Ready To Move,Doddathoguru,2,Prianhi,940,2,1,32.9
Super built-up  Area,18-May,Hosa Road,2,SStusan,1063,2,1,32.79
Super built-up  Area,Ready To Move,Brookefield,2,Stlomg ,1382,2,2,84.5
Super built-up  Area,Ready To Move,Harlur,2,,936,2,1,45
Super built-up  Area,Ready To Move,KR Puram,3,RaiewLa,1400,2,3,60
Super built-up  Area,20-Aug,Sarjapur  Road,1,Ahciace,475,1,1,26
Super built-up  Area,Ready To Move,LIC Colony,2,,1200,2,1,115
Super built-up  Area,Ready To Move,Glass Factory Layout,3,VMlet C,1450,3,3,65
Super built-up  Area,Ready To Move,Kudlu,2,GKityel,1162,2,1,52
Super built-up  Area,18-Dec,Hosa Road,2,Mahesr ,1161,2,1,48.75
Super built-up  Area,Ready To Move,Green Glen Layout,3,SoosePr,1623.29,2,2,105
Super built-up  Area,Ready To Move,Brookefield,2,Keorai ,1260,2,1,70
Plot  Area,Ready To Move,Billekahalli,4,Raony C,1672,3,2,190
Plot  Area,Ready To Move,Seegehalli,3,Akone R,3000,4,2,240
Super built-up  Area,Ready To Move,Murugeshpalya,3,Vauna F,1500,2,0,70
Super built-up  Area,20-Jun,Budigere,1,Brstaue,650 - 760,1,0,34.545
Plot  Area,Ready To Move,Gaurava Nagar,5,,1650,6,,200
Super built-up  Area,Ready To Move,Dollars Colony,3,Saent G,2000,3,3,200
Plot  Area,Ready To Move,Thyagaraja Nagar,1,,1675,1,0,241
Plot  Area,Ready To Move,Electronic City,3,EmrchAn,1200,3,2,150
Super built-up  Area,Ready To Move,Nagarbhavi,2,,1100,2,2,46.2
Super built-up  Area,Ready To Move,Whitefield,3,Salesni,1400,2,3,56
Super built-up  Area,Ready To Move,Ramagondanahalli,3,DNeremo,2257,3,2,155
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ceiti I,1197,2,1,56.86
Super built-up  Area,Ready To Move,Siddapura,2,Vidgema,1150,2,2,90
Super built-up  Area,20-Dec,Akshayanagara East,1,,595,1,1,40
Super built-up  Area,21-Jul,Hoodi,3,GoAirej,1837,3,1,110
Plot  Area,Ready To Move,Kumbalgodu,4,,3750,4,,190
Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1830,3,3,91.86
Super built-up  Area,Ready To Move,Green Glen Layout,3,Soionar,1715,3,3,115
Super built-up  Area,Ready To Move,Electronic City,2,MancyEl,970,2,1,35
Plot  Area,Ready To Move,Hebbal Kempapura,4,,1200,3,2,148
Built-up  Area,Ready To Move,NRI Layout,4,,2700,5,1,95.75
Plot  Area,Ready To Move,Siddapura,3,PrstaLa,5480,4,2,400
Built-up  Area,Ready To Move,Vidyaranyapura,4,,2400,5,1,135
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Nauha G,3040,4,2,135
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2,Prllsan,1168,2,1,66
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,36.54
Built-up  Area,Ready To Move,Mallappa Layout,3,Keort F,1500,3,2,75
Plot  Area,Ready To Move,Kumaraswami Layout,2,,600,2,1,72
Plot  Area,Ready To Move,5th Phase JP Nagar,8,,1200,7,3,250
Super built-up  Area,18-Dec,ITPL,2,,850,2,1,25.4
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,Apise P,935,2,2,39
Plot  Area,Ready To Move,Ullal Road,5,,1200,5,1,235
Super built-up  Area,18-Apr,Doddaballapur,1,,654,1,1,49
Built-up  Area,Ready To Move,Domlur,3,Prandm ,1650,3,1,180
Plot  Area,Ready To Move,Dodsworth Layout,3,Prleaou,5656,5,0,499
Super built-up  Area,Ready To Move,Vinayak Nagar,2,SLayaer,1300,2,1,33
